USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
cluster   2152  0.0  0.0   7980  2348 ?        S    09:47   0:00 /usr/lib/geoclue/geoclue-master
cluster   2154  0.0  0.0  42460  5924 ?        Sl   09:47   0:00 /usr/lib/ubuntu-geoip/ubuntu-geoip-provider
cluster   2174  0.0  0.1  44260  9120 ?        Sl   09:47   0:00 /usr/lib/gnome-disk-utility/gdu-notification-daemon
cluster   2183  0.0  0.1  79868 11688 ?        Sl   09:47   0:00 /usr/lib/unity-lens-applications/unity-applications-daemon
cluster   2185  0.0  0.0  94024  6328 ?        Sl   09:47   0:00 /usr/lib/unity-lens-files/unity-files-daemon
cluster   2187  0.0  0.0  85512  7800 ?        Sl   09:47   0:00 /usr/lib/unity-lens-music/unity-music-daemon
cluster   2189  0.0  0.1  72096 12684 ?        Sl   09:47   0:00 /usr/bin/python /usr/lib/unity-lens-video/unity-lens-video
cluster   2211  0.0  0.0  46964  5860 ?        Sl   09:47   0:00 /usr/bin/zeitgeist-daemon
cluster   2213  0.0  0.1  76184 10020 ?        Sl   09:47   0:00 telepathy-indicator
cluster   2225  0.0  0.0  43308  6260 ?        Sl   09:47   0:00 /usr/lib/telepathy/mission-control-5
cluster   2236  0.0  0.1  91364  9224 ?        Sl   09:47   0:00 /usr/lib/gnome-online-accounts/goa-daemon
cluster   2238  0.0  0.0  33516  2432 ?        Sl   09:47   0:00 /usr/lib/dconf/dconf-service
cluster   2247  0.0  0.1  57312 13996 ?        Sl   09:47   0:00 /usr/lib/zeitgeist/zeitgeist-fts
cluster   2249  0.0  0.0  56044  6240 ?        Sl   09:47   0:00 zeitgeist-datahub
cluster   2256  0.0  0.0   5448   284 ?        S    09:47   0:00 /bin/cat
cluster   2264  0.0  0.0  80952  3740 ?        Sl   09:47   0:00 /usr/lib/unity-lens-music/unity-musicstore-daemon
cluster   2280  0.0  0.1  42780  8864 ?        Sl   09:47   0:00 gnome-screensaver
cluster   2288  0.0  0.2  97068 16464 ?        Sl   09:47   0:00 /usr/bin/python /usr/lib/unity-scope-video-remote/unity-scope-video-remote
cluster   2308  5.2  8.4 1352932 685932 ?      Sl   09:48  27:43 /usr/lib/firefox/firefox
cluster   2326  0.0  0.0  37172  3628 ?        Sl   09:48   0:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
cluster   2379  0.0  0.1  54604 12588 ?        Sl   09:48   0:00 update-notifier
www-data  2383  0.0  0.0  34632  6004 ?        S    09:48   0:00 /usr/sbin/apache2 -k start
www-data  2388  0.0  0.0  34764  6204 ?        S    09:48   0:00 /usr/sbin/apache2 -k start
www-data  2389  0.0  0.0  34764  6136 ?        S    09:48   0:00 /usr/sbin/apache2 -k start
www-data  2390  0.0  0.0  34764  6108 ?        S    09:48   0:00 /usr/sbin/apache2 -k start
